date;
2004-04-15;1.7
2004-05-17;2.1
2004-06-15;2.5
2004-07-15;2.4
2004-08-18;2.3
2004-09-16;2.4
2004-10-18;2.2
2004-11-17;2.4
2004-12-16;2.3
2005-01-20;2.3
2005-02-28;1.9
2005-03-16;2.1
2005-04-18;2.2
2005-05-19;2.1
2005-06-16;2
2005-07-18;2
2005-08-18;2.1
2005-09-15;2.2
2005-10-18;2.6
2005-11-16;2.5
2005-12-16;2.3
2006-01-19;2.3
2006-02-28;2.5
2006-03-16;2.4
2006-04-20;2.2
2006-05-17;2.5
2006-06-15;2.5
2006-07-17;2.5
2006-08-17;2.5
2006-09-15;2.3
2006-10-17;1.8
2006-11-16;1.6
2006-12-15;1.9
2007-01-17;1.9
2007-02-28;1.9
2007-03-15;1.9
2007-04-16;2
2007-05-16;1.9
2007-06-14;1.9
2007-07-16;1.9
2007-08-16;1.8
2007-09-14;1.8
2007-10-16;2.2
2007-11-15;2.6
2007-12-14;3.1
2008-01-16;3.1
2008-02-29;3.3
2008-03-14;3.3
2008-04-16;3.7
2008-05-15;3.3
2008-06-16;3.8
2008-07-16;4.1
2008-08-14;4.2
2008-09-16;3.9
2008-10-15;3.7
2008-11-14;3.2
2008-12-17;2.2
2009-01-15;1.7
2009-02-27;1.2
2009-03-16;1.3
2009-04-16;0.6
2009-05-15;0.7
2009-06-16;0.1
2009-07-15;-0.1
2009-08-14;-0.6
2009-09-16;-0.1
2009-10-15;-0.3
2009-11-16;-0.1
2009-12-16;0.5
2010-01-15;0.9
2010-02-26;0.9
2010-03-16;0.8
2010-04-16;1.6
2010-05-18;1.6
2010-06-16;1.7
2010-07-14;1.5
2010-08-16;1.7
2010-09-15;1.6
2010-10-15;1.9
2010-11-16;1.9
2010-12-16;1.9
2011-01-14;2.2
2011-02-28;2.3
2011-03-16;2.4
2011-04-15;2.7
2011-05-16;2.8
2011-06-16;2.7
2011-07-14;2.7
2011-08-17;2.6
2011-09-15;2.6
2011-10-14;3
2011-11-16;3
2011-12-15;3
2012-01-17;2.8
2012-02-29;2.6
2012-03-14;2.7
2012-04-17;2.7
2012-05-16;2.6
2012-06-14;2.4
2012-07-16;2.4
2012-08-16;2.4
2012-09-14;2.6
2012-10-16;2.6
2012-11-15;2.5
2012-12-14;2.2
2013-01-16;2.2
2013-02-28;2
2013-03-15;1.9
2013-04-16;1.7
2013-05-16;1.2
2013-06-14;1.4
2013-07-16;1.6
2013-08-16;1.6
2013-09-16;1.3
2013-10-16;1.1
2013-11-15;0.7
2013-12-17;0.9
2014-01-16;0.8
2014-02-24;0.8
2014-03-17;0.7
2014-04-16;0.5
2014-05-15;0.7
2014-06-16;0.5
2014-07-17;0.5
2014-08-14;0.4
2014-09-17;0.4
2014-10-16;0.3
2014-11-14;0.4
2014-12-17;0.3
2015-01-16;-0.2
2015-02-24;-0.6
2015-03-17;-0.3
2015-04-17;-0.1
2015-05-19;0.2
2015-06-17;0.6
2015-07-16;0.5
2015-08-14;0.5
2015-09-16;0.4
2015-10-16;0.2
2015-11-16;0.4
2015-12-16;0.1
2016-01-19;0.3
2016-02-25;0.3
2016-03-17;-0.1
2016-04-14;0
2016-05-18;-0.3
2016-06-16;-0.1
2016-07-15;0
2016-08-18;0.2
2016-09-15;0.2
2016-10-17;0.4
2016-11-16;0.5
2016-12-16;0.6
2017-01-18;1.1
2017-02-22;1.7
2017-03-16;2
2017-04-19;1.5
2017-05-17;1.9
2017-06-16;1.4
2017-07-17;1.3
2017-08-17;1.3
2017-09-18;1.5
2017-10-17;1.6
2017-11-16;1.4
2017-12-18;1.5
2018-01-17;1.3
2018-02-23;1.3
2018-03-16;1.1
2018-04-18;1.4
2018-05-16;1.2
2018-06-15;2
2018-07-18;2
2018-08-17;2.2
2018-09-17;2.1
2018-10-17;2.1
2018-11-16;2.3
2018-12-17;1.9
2019-01-17;1.5
2019-02-22;1.4
2019-03-15;1.5
2019-04-17;1.4
2019-05-17;1.7
2019-06-18;1.2
2019-07-17;1.3
2019-08-19;1
2019-09-18;1
2019-10-16;0.8
2019-11-15;0.7
2019-12-17;1
2020-01-17;1.3
2020-02-21;1.4
2020-03-18;1.2
2020-04-17;0.7
2020-05-20;0.3
2020-06-17;0.1
2020-07-17;0.3
2020-08-19;0.4
2020-09-17;-0.2
2020-10-16;-0.3
2020-11-18;-0.3
2020-12-17;-0.3
2021-01-21;-0.3
2021-02-23;0.9
2021-03-17;0.9
2021-04-16;1.3
2021-05-19;1.6
2021-06-17;2
2021-07-16;1.9
2021-08-18;2.2
2021-09-17;3
2021-10-20;3.4
2021-11-17;4.1
2021-12-17;4.9
2022-01-20;5
2022-02-23;5.1
2022-03-17;5.9
2022-04-21;7.4
2022-05-18;7.5
2022-06-17;8.1
2022-07-19;8.7
2022-08-18;8.9
2022-09-16;9.2
2022-10-19;9.9
2022-11-17;10.6
2022-12-16;10.1
2023-01-18;9.2
2023-02-23;8.7
2023-03-17;8.5
2023-04-19;6.9
2023-05-17;7
2023-06-16;6.1
2023-07-19;5.5
2023-08-18;5.3
2023-09-19;5.2
2023-10-18;4.3
2023-11-17;2.9
2023-12-19;2.4
2024-01-17;2.9
2024-02-22;2.8
2024-03-18;2.6
2024-04-17;2.4
