date,value
2022-01-01,8.00279982052121
2021-01-01,4.69785886363742
2020-01-01,1.23358439630629
2019-01-01,1.81221007526021
2018-01-01,2.44258329692817
2017-01-01,2.13011000365961
2016-01-01,1.26158320570536
2015-01-01,0.118627135552451
2014-01-01,1.62222297740817
2013-01-01,1.46483265562717
2012-01-01,2.06933726526067
2011-01-01,3.156841568622
2010-01-01,1.6400434423899
2009-01-01,-0.355546266299747
2008-01-01,3.839100296651
2007-01-01,2.85267248150138
2006-01-01,3.22594410070404
2005-01-01,3.3927468454955
